2023-05-14 00:05:47,713 [INFO] label-studio init captcha-recognition -b --internal-host localhost -l config/label-config.xml
2023-05-14 00:06:06,546 [INFO] Exceuted `python setup.py run-studio` again to start Label-Studio
2023-05-14 00:06:17,183 [INFO] label-studio start captcha-recognition -b --internal-host localhost
2023-05-14 00:25:47,841 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/tasks
2023-05-14 00:25:47,842 [INFO] File Filter Regex: .*json
2023-05-14 00:38:31,709 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/CAPTCHA_images/images
2023-05-14 00:38:31,709 [INFO] File Filter Regex: .*json
2023-05-14 00:43:57,629 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/CAPTCHA_images/images
2023-05-14 00:43:57,629 [INFO] File Filter Regex: .*json
2023-05-14 09:31:05,476 [INFO] Dataset Abolute path: /home/rony/Projects/captcha-model-train/data/
2023-05-14 09:31:05,476 [INFO] File Filter Regex: .*json
2023-05-15 02:11:07,933 [ERROR] KeyError: id => 34, image => data/adkjc.png
2023-05-15 02:11:07,934 [ERROR] KeyError: id => 92, image => data/apdmo.png
2023-05-15 02:11:07,952 [INFO] Generated dataset.csv
2023-05-15 02:13:37,370 [INFO] Generated dataset.csv
2023-05-15 02:16:41,972 [INFO] Generated data/dataset.csv
2023-05-15 02:18:12,754 [INFO] Generated data/dataset.csv
2023-05-15 03:33:04,312 [INFO] Generated data/dataset.csv
2023-05-15 03:43:32,712 [ERROR] KeyError: id => 1, image => data/aaadh.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 2, image => data/aaajc.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 3, image => data/aaawa.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 3, image => data/aaawa.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 4, image => data/aabvs.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 4, image => data/aabvs.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 5, image => data/aadlc.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 6, image => data/aafjq.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 7, image => data/aafta.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 8, image => data/aahdh.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 9, image => data/aahhq.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 10, image => data/aaikb.png
2023-05-15 03:43:32,713 [ERROR] KeyError: id => 11, image => data/aajva.png
2023-05-15 03:43:32,714 [ERROR] KeyError: id => 12, image => data/aaqaa.png
2023-05-15 03:43:32,714 [ERROR] KeyError: id => 13, image => data/aaqcd.png
2023-05-15 03:43:32,714 [ERROR] KeyError: id => 14, image => data/aaqol.png
2023-05-15 03:43:32,714 [ERROR] KeyError: id => 15, image => data/aasuh.png
2023-05-15 03:43:32,714 [ERROR] KeyError: id => 16, image => data/aatfa.png
2023-05-15 03:43:32,714 [ERROR] KeyError: id => 17, image => data/aatkc.png
2023-05-15 03:43:32,715 [ERROR] KeyError: id => 18, image => data/aaukm.png
2023-05-15 03:43:32,715 [ERROR] KeyError: id => 19, image => data/aaums.png
2023-05-15 03:43:32,716 [ERROR] KeyError: id => 20, image => data/aavlt.png
2023-05-15 03:43:32,716 [ERROR] KeyError: id => 21, image => data/aavuu.png
2023-05-15 03:43:32,716 [ERROR] KeyError: id => 22, image => data/aawsh.png
2023-05-15 03:43:32,716 [ERROR] KeyError: id => 23, image => data/abicd.png
2023-05-15 03:43:32,716 [ERROR] KeyError: id => 24, image => data/abjmb.png
2023-05-15 03:43:32,716 [ERROR] KeyError: id => 25, image => data/abmth.png
2023-05-15 03:43:32,716 [ERROR] KeyError: id => 26, image => data/abpmv.png
2023-05-15 03:43:32,716 [ERROR] KeyError: id => 27, image => data/abqbb.png
2023-05-15 03:43:32,717 [ERROR] KeyError: id => 28, image => data/abuab.png
2023-05-15 03:43:32,717 [ERROR] KeyError: id => 29, image => data/acfyy.png
2023-05-15 03:43:32,717 [ERROR] KeyError: id => 30, image => data/actll.png
2023-05-15 03:43:32,717 [ERROR] KeyError: id => 31, image => data/adakn.png
2023-05-15 03:43:32,717 [ERROR] KeyError: id => 32, image => data/adcam.png
2023-05-15 03:43:32,717 [ERROR] KeyError: id => 33, image => data/adcjm.png
2023-05-15 03:43:32,717 [ERROR] KeyError: id => 34, image => data/adkjc.png
2023-05-15 03:43:32,717 [ERROR] KeyError: id => 35, image => data/adnqa.png
2023-05-15 03:43:32,717 [ERROR] KeyError: id => 36, image => data/adqbs.png
2023-05-15 03:43:32,718 [ERROR] KeyError: id => 37, image => data/adqsy.png
2023-05-15 03:43:32,718 [ERROR] KeyError: id => 38, image => data/adxjo.png
2023-05-15 03:43:32,718 [ERROR] KeyError: id => 39, image => data/adxup.png
2023-05-15 03:43:32,718 [ERROR] KeyError: id => 40, image => data/afaba.png
2023-05-15 03:43:32,718 [ERROR] KeyError: id => 41, image => data/afabr.png
2023-05-15 03:43:32,718 [ERROR] KeyError: id => 42, image => data/afayi.png
2023-05-15 03:43:32,718 [ERROR] KeyError: id => 43, image => data/afdra.png
2023-05-15 03:43:32,718 [ERROR] KeyError: id => 44, image => data/aflac.png
2023-05-15 03:43:32,719 [ERROR] KeyError: id => 45, image => data/afoaf.png
2023-05-15 03:43:32,719 [ERROR] KeyError: id => 46, image => data/afoha.png
2023-05-15 03:43:32,719 [ERROR] KeyError: id => 47, image => data/afqam.png
2023-05-15 03:43:32,719 [ERROR] KeyError: id => 48, image => data/afvhi.png
2023-05-15 03:43:32,719 [ERROR] KeyError: id => 49, image => data/afwrl.png
2023-05-15 03:43:32,719 [ERROR] KeyError: id => 50, image => data/ahfvb.png
2023-05-15 03:43:32,719 [ERROR] KeyError: id => 51, image => data/ahjac.png
2023-05-15 03:43:32,719 [ERROR] KeyError: id => 52, image => data/ahkph.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 53, image => data/ahqdp.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 54, image => data/ahvan.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 55, image => data/aiach.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 56, image => data/aiatt.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 57, image => data/aimja.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 58, image => data/aiorj.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 59, image => data/aiwhp.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 60, image => data/ajbqw.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 61, image => data/ajjda.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 62, image => data/ajsla.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 63, image => data/ajwtv.png
2023-05-15 03:43:32,720 [ERROR] KeyError: id => 64, image => data/akdja.png
2023-05-15 03:43:32,721 [ERROR] KeyError: id => 65, image => data/akfpk.png
2023-05-15 03:43:32,721 [ERROR] KeyError: id => 66, image => data/akhtr.png
2023-05-15 03:43:32,721 [ERROR] KeyError: id => 67, image => data/akmdy.png
2023-05-15 03:43:32,721 [ERROR] KeyError: id => 68, image => data/akrsw.png
2023-05-15 03:43:32,721 [ERROR] KeyError: id => 69, image => data/aktkl.png
2023-05-15 03:43:32,721 [ERROR] KeyError: id => 70, image => data/alaat.png
2023-05-15 03:43:32,721 [ERROR] KeyError: id => 71, image => data/alaau.png
2023-05-15 03:43:32,721 [ERROR] KeyError: id => 72, image => data/albmy.png
2023-05-15 03:43:32,721 [ERROR] KeyError: id => 73, image => data/aljfa.png
2023-05-15 03:43:32,721 [ERROR] KeyError: id => 74, image => data/alotl.png
2023-05-15 03:43:32,721 [ERROR] KeyError: id => 75, image => data/amaqd.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 76, image => data/amkny.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 77, image => data/amlac.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 78, image => data/amlcc.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 79, image => data/amrif.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 80, image => data/anuaf.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 81, image => data/aoada.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 82, image => data/aoahr.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 83, image => data/aoaxa.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 84, image => data/aodxy.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 85, image => data/aomly.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 86, image => data/aoofy.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 87, image => data/aopak.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 88, image => data/aowya.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 89, image => data/aoxyw.png
2023-05-15 03:43:32,722 [ERROR] KeyError: id => 90, image => data/apchj.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 91, image => data/apcpc.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 92, image => data/apdmo.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 93, image => data/appln.png
2023-05-15 03:43:32,723 [ERROR] KeyError: id => 94, image => data/apthl.png
